Id,Id2,Geography,TOT,65UP
1500000US490351001001,4.90351E+11,"Block Group 1, Census Tract 1001, Salt Lake County, Utah",548,37
1500000US490351001002,4.90351E+11,"Block Group 2, Census Tract 1001, Salt Lake County, Utah",817,64
1500000US490351002001,4.90351E+11,"Block Group 1, Census Tract 1002, Salt Lake County, Utah",1293,148
1500000US490351003061,4.90351E+11,"Block Group 1, Census Tract 1003.06, Salt Lake County, Utah",1796,29
1500000US490351003062,4.90351E+11,"Block Group 2, Census Tract 1003.06, Salt Lake County, Utah",1624,92
1500000US490351003063,4.90351E+11,"Block Group 3, Census Tract 1003.06, Salt Lake County, Utah",1954,148
1500000US490351003071,4.90351E+11,"Block Group 1, Census Tract 1003.07, Salt Lake County, Utah",1753,79
1500000US490351003072,4.90351E+11,"Block Group 2, Census Tract 1003.07, Salt Lake County, Utah",1823,82
1500000US490351003073,4.90351E+11,"Block Group 3, Census Tract 1003.07, Salt Lake County, Utah",1619,49
1500000US490351003081,4.90351E+11,"Block Group 1, Census Tract 1003.08, Salt Lake County, Utah",1825,119
1500000US490351003082,4.90351E+11,"Block Group 2, Census Tract 1003.08, Salt Lake County, Utah",2327,39
1500000US490351005001,4.90351E+11,"Block Group 1, Census Tract 1005, Salt Lake County, Utah",1091,153
1500000US490351005002,4.90351E+11,"Block Group 2, Census Tract 1005, Salt Lake County, Utah",1368,220
1500000US490351005003,4.90351E+11,"Block Group 3, Census Tract 1005, Salt Lake County, Utah",1509,242
1500000US490351005004,4.90351E+11,"Block Group 4, Census Tract 1005, Salt Lake County, Utah",990,92
1500000US490351005005,4.90351E+11,"Block Group 5, Census Tract 1005, Salt Lake County, Utah",1328,0
1500000US490351006001,4.90351E+11,"Block Group 1, Census Tract 1006, Salt Lake County, Utah",1423,149
1500000US490351006002,4.90351E+11,"Block Group 2, Census Tract 1006, Salt Lake County, Utah",1100,167
1500000US490351006003,4.90351E+11,"Block Group 3, Census Tract 1006, Salt Lake County, Utah",1737,250
1500000US490351006004,4.90351E+11,"Block Group 4, Census Tract 1006, Salt Lake County, Utah",1267,128
1500000US490351006005,4.90351E+11,"Block Group 5, Census Tract 1006, Salt Lake County, Utah",1229,70
1500000US490351007001,4.90351E+11,"Block Group 1, Census Tract 1007, Salt Lake County, Utah",760,85
1500000US490351007002,4.90351E+11,"Block Group 2, Census Tract 1007, Salt Lake County, Utah",1103,64
1500000US490351007003,4.90351E+11,"Block Group 3, Census Tract 1007, Salt Lake County, Utah",831,80
1500000US490351008001,4.90351E+11,"Block Group 1, Census Tract 1008, Salt Lake County, Utah",1001,82
1500000US490351008002,4.90351E+11,"Block Group 2, Census Tract 1008, Salt Lake County, Utah",551,124
1500000US490351008003,4.90351E+11,"Block Group 3, Census Tract 1008, Salt Lake County, Utah",997,229
1500000US490351010001,4.90351E+11,"Block Group 1, Census Tract 1010, Salt Lake County, Utah",930,90
1500000US490351010002,4.90351E+11,"Block Group 2, Census Tract 1010, Salt Lake County, Utah",2243,256
1500000US490351011011,4.90351E+11,"Block Group 1, Census Tract 1011.01, Salt Lake County, Utah",1046,113
1500000US490351011012,4.90351E+11,"Block Group 2, Census Tract 1011.01, Salt Lake County, Utah",911,50
1500000US490351011021,4.90351E+11,"Block Group 1, Census Tract 1011.02, Salt Lake County, Utah",1371,243
1500000US490351011022,4.90351E+11,"Block Group 2, Census Tract 1011.02, Salt Lake County, Utah",1169,161
1500000US490351011023,4.90351E+11,"Block Group 3, Census Tract 1011.02, Salt Lake County, Utah",937,211
1500000US490351012001,4.90351E+11,"Block Group 1, Census Tract 1012, Salt Lake County, Utah",928,24
1500000US490351012002,4.90351E+11,"Block Group 2, Census Tract 1012, Salt Lake County, Utah",749,143
1500000US490351012003,4.90351E+11,"Block Group 3, Census Tract 1012, Salt Lake County, Utah",943,130
1500000US490351012004,4.90351E+11,"Block Group 4, Census Tract 1012, Salt Lake County, Utah",1125,124
1500000US490351014001,4.90351E+11,"Block Group 1, Census Tract 1014, Salt Lake County, Utah",781,39
1500000US490351014002,4.90351E+11,"Block Group 2, Census Tract 1014, Salt Lake County, Utah",1647,102
1500000US490351014003,4.90351E+11,"Block Group 3, Census Tract 1014, Salt Lake County, Utah",2099,0
